arm,basket_id,entry_ts_ist,exit_ts_ist,hold_hours,entry_spot,exit_spot,atm_strike,short_call_strike,short_put_strike,prot_call_strike,prot_put_strike,prot_call_otm_pts,prot_put_otm_pts,exact_strike_available,strike_gap_pts,qty_short,qty_protection,protection_ratio,short_dte,short_call_symbol,short_call_side,short_call_qty,short_call_entry_mark,short_call_entry_fill,short_call_entry_slip_pct,short_call_entry_fee,short_call_exit_mark,short_call_exit_fill,short_call_exit_fee,short_call_expired_flag,short_call_leg_pnl_usd,short_put_symbol,short_put_side,short_put_qty,short_put_entry_mark,short_put_entry_fill,short_put_entry_slip_pct,short_put_entry_fee,short_put_exit_mark,short_put_exit_fill,short_put_exit_fee,short_put_expired_flag,short_put_leg_pnl_usd,prot_call_symbol,prot_call_side,prot_call_qty,prot_call_entry_mark,prot_call_entry_fill,prot_call_entry_slip_pct,prot_call_entry_fee,prot_call_exit_mark,prot_call_exit_fill,prot_call_exit_fee,prot_call_expired_flag,prot_call_leg_pnl_usd,prot_put_symbol,prot_put_side,prot_put_qty,prot_put_entry_mark,prot_put_entry_fill,prot_put_entry_slip_pct,prot_put_entry_fee,prot_put_exit_mark,prot_put_exit_fill,prot_put_exit_fee,prot_put_expired_flag,prot_put_leg_pnl_usd,short_credit,long_debit,net_credit,entry_drag,target_pct,target_usd,target_usd_absolute,stop_usd,stop_usd_absolute,short_premium_entry_points,mae_usd,net_theta_entry,shorts_pnl,protection_pnl,gross_usd,fees_usd,slippage_usd,net_usd,exit_reason,entry_mode,entry_time_ist,vwap_mid_at_entry,swing_high,swing_low,swing_high_vwap,swing_low_vwap,bars_since_day_reset,signals_found_today,signal_rank_used,protection_mode,protection_mult,adj_mode,n_adjustments
q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adjnone,1,2025-11-01 09:00:00,2025-11-01 17:29:00,8.483333333333333,110019.5,110108.5,110000.0,112000.0,107600.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-112000-021125,sell,100,34.88725766,32.91137140469746,5.6636330506653465,0.13592396390140055,70.52585209,74.5201775582326,0.30776833331550063,0,-4.1608806153535145,P-BTC-107600-021125,sell,100,34.49782571,32.54399545132751,5.6636330506653465,0.13440670121398263,30.53186848,32.261081474218955,0.1332382664885243,0,0.028291397710855648,,,0,,,,,,,,0,,,,0,,,,,,,,0,,6.545536685602498,0,6.545536685602498,-0.6633023165128863,20.0,1.3091073371204995,1.3091073371204995,,,69.38508337,-4.136372946000001,11.96562737190679,-4.132589217642659,0.0,-4.132589217642659,0.7113372649194081,0.965325497642659,-4.8439264825620665,TIME_CUTOFF,fixed,2025-11-01 09:00:00,,,,,,0,0,0,same_strike,1.0,none,0
q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adjnone,2,2025-11-02 09:00:00,2025-11-02 17:29:00,8.483333333333333,109990.0,111206.5,110000.0,111600.0,108400.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-111600-031125,sell,100,266.93782384,263.76501506400024,1.188594681097551,1.089349512214321,721.55243101,726.0869385618248,1.3116526000000002,0,-46.23219234978246,P-BTC-108400-031125,sell,100,262.78751294,259.6640345386066,1.188594681097551,1.0724124626444453,143.73791738,145.44637862069908,0.6006935437034873,0,11.421765591790752,,,0,,,,,,,,0,,,,0,,,,,,,,0,,52.34290496026068,0,52.34290496026068,-2.7913906925980863,20.0,10.468580992052138,10.468580992052138,,,529.72533678,-33.556501161,45.729602204422285,-34.810426757991706,0.0,-34.810426757991706,4.074108118562254,1.2539255969917122,-38.88453487655396,TIME_CUTOFF,fixed,2025-11-02 09:00:00,,,,,,0,0,0,same_strike,1.0,none,0
q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adjnone,3,2025-11-03 09:00:00,2025-11-03 14:36:00,5.6,108043.0,107831.0,108000.0,110000.0,106000.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-110000-041125,sell,100,414.97591427,411.9143277017274,0.7377745220848071,1.2749074000000002,292.23435546,295.7078374653373,1.2212733687318433,0,11.620649023639011,P-BTC-106000-041125,sell,100,411.52930081,408.4931424777101,0.7377745220848071,1.2749074000000002,364.68267207,367.3732079109906,1.2724058,0,4.111993456671951,,,0,,,,,,,,0,,,,0,,,,,,,,0,,82.04074701794376,0,82.04074701794376,-3.159589290056248,20.0,16.40814940358875,16.40814940358875,,,826.50521508,-4.454639376999998,66.47122399270918,15.732642480310961,0.0,15.732642480310961,5.043493968731844,1.2261762746890328,10.689148511579116,TARGET,fixed,2025-11-03 09:00:00,,,,,,0,0,0,same_strike,1.0,none,0
q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adjnone,4,2025-11-04 09:00:00,2025-11-04 17:29:00,8.483333333333333,106874.0,104445.5,106800.0,108800.0,104400.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-108800-051125,sell,100,369.9628432,367.23335160168983,0.7377745220848071,1.2611132000000003,67.98395359,71.83431525467223,0.2966757220017963,0,29.539903634701762,P-BTC-104400-051125,sell,100,367.3348697,364.62476662062,0.7377745220848071,1.2611132000000003,941.25961058,946.6068986832589,1.2335897000000002,0,-58.198213206263894,,,0,,,,,,,,0,,,,0,,,,,,,,0,,73.18581182223099,0,73.18581182223099,-3.06618586776902,20.0,14.637162364446198,14.637162364446198,,,737.2977129000001,-77.709526981,63.28689944189472,-28.658309571562132,0.0,-28.658309571562132,4.052491822001797,1.4637244445621391,-32.710801393563926,TIME_CUTOFF,fixed,2025-11-04 09:00:00,,,,,,0,0,0,same_strike,1.0,none,0
q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adjnone,5,2025-11-05 09:00:00,2025-11-05 11:23:00,2.3833333333333333,102043.0,101699.5,102000.0,104000.0,99600.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-104000-061125,sell,100,650.26274575,646.1762494615095,0.6284377069421756,1.2041074,457.98763884,461.3665549536593,1.2000541,0,18.48096945078502,P-BTC-99600-061125,sell,100,647.56442009,643.494881097413,0.6284377069421756,1.2041074,581.09132149,585.3784652099991,1.2000541,0,5.811641588741384,,,0,,,,,,,,0,,,,0,,,,,,,,0,,128.96711305589224,0,128.96711305589224,-3.2238183281077495,20.0,25.79342261117845,25.79342261117845,,,1297.82716584,-0.42434971699999524,93.21115519617035,24.292611039526406,0.0,24.292611039526406,4.808323,1.582209511473593,19.484288039526405,TARGET,fixed,2025-11-05 09:00:00,,,,,,0,0,0,same_strike,1.0,none,0
q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adjnone,6,2025-11-06 09:00:00,2025-11-06 17:29:00,8.483333333333333,103660.0,103153.5,103600.0,105400.0,101600.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-105400-071125,sell,100,315.62819585,313.29957143650273,0.7377745220848071,1.223188,206.09105697,208.54064431136317,0.8612728610059299,0,10.475892712513957,P-BTC-101600-071125,sell,100,313.43005652,311.1176494184394,0.7377745220848071,1.223188,380.90267495,383.71287783972065,1.2176715,0,-7.259522842128127,,,0,,,,,,,,0,,,,0,,,,,,,,0,,62.44172208549422,0,62.44172208549422,-2.9104791515057875,20.0,12.488344417098844,12.488344417098844,,,629.05825237,-10.945341003000005,54.25827417072858,3.2163698703858303,0.0,3.2163698703858303,4.52532036100593,0.9900821746141675,-1.3089504906200995,TIME_CUTOFF,fixed,2025-11-06 09:00:00,,,,,,0,0,0,same_strike,1.0,none,0
q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adjnone,7,2025-11-07 09:00:00,2025-11-07 13:19:00,4.316666666666666,102198.0,101928.0,102200.0,104200.0,99800.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-104200-081125,sell,100,385.39432361,382.55098248084437,0.7377745220848071,1.2059364000000001,268.32629494,271.515607009643,1.1213594569498258,0,11.103537547120135,P-BTC-99800-081125,sell,100,391.86656844,388.97547673748164,0.7377745220848071,1.2059364000000001,351.15012837,353.740824551382,1.2027504000000002,0,3.5234652186099655,,,0,,,,,,,,0,,,,0,,,,,,,,0,,77.1526459218326,0,77.1526459218326,-2.985316083167399,20.0,15.43052918436652,15.43052918436652,,,777.2608920499999,-0.08863834800000037,65.67090762927806,14.6270027657301,0.0,14.6270027657301,4.735982656949826,1.1514441082698967,9.891020108780275,TARGET,fixed,2025-11-07 09:00:00,,,,,,0,0,0,same_strike,1.0,none,0
q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adjnone,8,2025-11-08 09:00:00,2025-11-08 17:29:00,8.483333333333333,102974.0,101832.5,103000.0,104600.0,101000.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-104600-091125,sell,100,54.28007641,51.20585206251683,5.6636330506653465,0.21148016901819452,25.37009271,26.806961665708002,0.11071275167937406,0,2.4398890396808834,P-BTC-101000-091125,sell,100,55.28749876,52.15621770734244,5.6636330506653465,0.21540517913132431,166.61587693,168.59626438105403,0.6963025718937532,0,-11.644004667371158,,,0,,,,,,,,0,,,,0,,,,,,,,0,,10.336206976985927,0,10.336206976985927,-1.0474358881635912,20.0,2.0672413953971858,2.0672413953971858,,,109.56757517,-9.93331461,15.840612909036295,-9.204115627690275,0.0,-9.204115627690275,1.2339006717226462,0.9622761806902738,-10.43801629941292,TIME_CUTOFF,fixed,2025-11-08 09:00:00,,,,,,0,0,0,same_strike,1.0,none,0
q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adjnone,9,2025-11-09 09:00:00,2025-11-09 17:29:00,8.483333333333333,101564.0,102205.0,101600.0,103400.0,99600.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-103400-101125,sell,100,242.50294213,239.62056505833775,1.188594681097551,0.989632933690935,426.5900347,429.7373072897693,1.2060662000000002,0,-19.011674223143157,P-BTC-99600-101125,sell,100,242.32499486,239.44473286012413,1.188594681097551,0.9889067467123127,208.29181676,210.7675622151708,0.8704700319486556,0,2.8677170644953325,,,0,,,,,,,,0,,,,0,,,,,,,,0,,47.90652979184619,0,47.90652979184619,-2.5548035875570605,20.0,9.581305958369239,9.581305958369239,,,484.82793699,-23.468381215999997,45.4755605356908,-16.143957158647822,0.0,-16.143957158647822,4.055075912351903,1.1385657116478285,-20.199033070999725,TIME_CUTOFF,fixed,2025-11-09 09:00:00,,,,,,0,0,0,same_strike,1.0,none,0
q100_pr0_tp20_ddnone_off2000_po0_cut1729_sdte1_emfixed_e0900_adjnone,10,2025-11-10 09:00:00,2025-11-10 13:44:00,4.733333333333333,105952.0,106219.0,106000.0,107600.0,104400.0,,,nan,nan,0,0.0,100,0,0.0,1,C-BTC-107600-111125,sell,100,528.98535204,525.0826328870882,0.7377745220848071,1.2502336,480.06032704,483.60208982353817,1.2533842000000002,0,4.148054306354999,P-BTC-104400-111125,sell,100,499.47450453,495.7895088912683,0.7377745220848071,1.2502336,343.57119912,346.10597989232866,1.2533842000000002,0,14.968352899893967,,,0,,,,,,,,0,,,,0,,,,,,,,0,,102.08721417783565,0,102.08721417783565,-3.2592386791643464,20.0,20.41744283556713,20.41744283556713,,,1028.4598565699998,-0.18906109100000235,72.02093312277627,19.116407206248965,0.0,19.116407206248965,5.0072356000000005,1.366425834751027,14.109171606248964,TARGET,fixed,2025-11-10 09:00:00,,,,,,0,0,0,same_strike,1.0,none,0
